Isotype,Total_Unique_Sequences,Total_Total_Sequences,Percentage_Unique_Sequences,Percentage_Total_Sequences
Bulk,852775477,2939042324,38.052213873999115,43.89317385990592
IGHA,107503146,536372697,4.796963343869411,8.010466487970058
IGHG,260965257,656801378,11.644689652640123,9.809010520387385
IGHM,1005470334,2527719122,44.865704074801066,37.75026102378604
IGHD,12742885,24291314,0.568608031621171,0.36277901137417123
IGHE,1609557,11671560,0.07182102306911482,0.17430909657642737
