Isotype,Total_Unique_Sequences,Total_Total_Sequences,Percentage_Unique_Sequences,Percentage_Total_Sequences
Bulk,866416746,2977791933,35.691376728156534,42.20447886617567
IGHA,109176811,539760477,4.497455421273383,7.650067619530823
IGHG,287612080,719615672,11.84796017186941,10.199169419501816
IGHM,1149592897,2782101880,47.35660218972712,39.43094838050513
IGHD,13102290,24659729,0.5397388387868925,0.3495042752626462
IGHE,1623204,11700453,0.066866650186665,0.16583143902391037
