Isotype,Total_Unique_Sequences,Total_Total_Sequences,Percentage_Unique_Sequences,Percentage_Total_Sequences
Bulk,7382896,30753992,4.273238331090725,9.018770928182297
IGHG,23602615,57385085,13.661251510515237,16.828479903008038
IGHM,141030939,250860546,81.62905374862626,73.56618286473959
IGHD,10843,11287,0.006275955021446425,0.0033099724896330078
IGHA,729712,1960197,0.42235909716957615,0.574838145145845
IGHE,13513,28706,0.00782135757675971,0.008418186434606637
